well,start_date,end_date
WELL-00001,2014-01-24 08:33:03,2017-08-28 14:56:17
WELL-00002,2013-11-04 00:41:01,2017-08-13 19:58:47
WELL-00003,2014-11-22 19:00:00,2018-02-06 20:15:36
WELL-00004,2014-08-04 19:00:12,2017-10-31 20:28:56
WELL-00005,2017-03-31 05:00:14,2017-09-10 14:57:47
WELL-00006,2017-02-06 21:00:31,2018-06-21 23:56:30
WELL-00007,2017-05-17 20:00:12,2017-08-01 21:59:44
WELL-00008,2017-06-10 21:02:46,2017-09-14 16:56:38
WELL-00009,2017-03-13 15:08:04,2017-03-13 18:00:21
WELL-00010,2017-12-18 18:01:31,2018-07-24 13:55:23
WELL-00011,2014-05-15 08:30:00,2014-10-06 17:15:36
WELL-00012,2017-03-20 01:10:00,2017-03-20 15:27:36
WELL-00013,2017-03-29 01:02:29,2017-03-29 04:52:46
WELL-00014,2016-03-04 15:59:06,2017-10-28 22:58:42
WELL-00015,2017-06-20 12:29:25,2019-09-22 09:29:30
WELL-00016,2015-04-18 13:20:43,2019-09-25 15:54:52
WELL-00019,2012-06-01 16:50:20,2021-06-20 02:13:37
WELL-00020,2013-10-04 22:54:00,2014-03-20 04:20:38
WELL-00021,2018-06-11 01:12:18,2019-04-03 15:00:00
WELL-00022,2018-08-02 23:38:38,2018-11-03 04:00:00
WELL-00023,2018-08-26 21:26:52,2018-11-01 19:59:50
WELL-00024,2016-07-04 18:00:00,2016-10-28 08:09:30
WELL-00025,2020-06-29 19:41:41,2020-07-08 04:18:12
WELL-00026,2016-06-01 13:00:00,2017-06-15 00:00:00
WELL-00027,2023-09-18 17:01:06,2023-09-26 14:01:25
WELL-00028,2021-06-17 05:31:28,2021-06-20 23:54:26
WELL-00029,2020-10-20 23:17:24,2020-10-22 16:11:09
WELL-00030,2014-11-08 01:26:23,2014-11-09 22:18:40
WELL-00031,2014-04-03 17:04:04,2014-04-07 21:46:14
WELL-00032,2011-08-30 23:53:21,2011-09-01 13:10:02
WELL-00033,2019-09-25 19:04:20,2019-10-04 05:27:11
WELL-00034,2019-08-25 00:44:01,2019-10-03 22:59:12
WELL-00035,2019-08-19 09:32:45,2019-09-26 14:53:41
WELL-00036,2019-09-25 10:00:42,2019-09-30 11:28:48
WELL-00037,2018-10-11 07:12:38,2019-09-25 06:08:39
WELL-00038,2019-09-24 21:29:24,2019-09-26 11:32:49
WELL-00039,2019-09-18 15:01:11,2019-09-25 07:27:55
WELL-00040,2018-10-13 16:02:42,2018-10-14 01:36:18
WELL-00041,2018-10-13 16:02:01,2019-09-25 22:27:31
WELL-00042,2014-12-17 14:27:45,2014-12-22 10:09:18
